act_s,count,act
"366, 376(2)(n) of IPC and Sec. 6 of POCSO Act and Sec. 9 of CMR Act and Sec.3(1)(w), 3(2)(va) SC/ST",1,1313
"366, 376(2)(n) of IPC and Sec. 6 of POCSO Act.",3,1314
"366, 376(2)(n) of IPC and Sec. 9,10 of POCSO Act.",1,1315
"366, 376(2)(n), 114 of IPC and Sec. 4, 5(L), 6 of POCSO Act",1,1316
"366, 376(2)(n), 343 of IPC 1860 and Sec. 4, 5(j)(2), 6 of POCSO Act and Sec. 9 of CM Act.",1,1317
"366, 376(2)(n), 506 of IPC and Sec. 4, 6 of POCSO Act.",1,1318
"366, 376(2)(n), 506 of IPC and Sec. 6 of POCSO Act",1,1319
"366, 376(I) of IPC and Sec. 4 of POCSO Act.",1,1320
"366, 376,  of IPC and sec. 4 of POCSO Act.",3,1321
"366, 376, 341 of IPC and Sec. 4, 6 of POCSO Act.",1,1322
"366, 376, 506  of IPC and Sec. 4 of POCSO Act and Sec. 9, 10 of PCM Act.",1,1323
"366, 376-1, 506 of IPC and Sec. 6 of POCSO Act and Sec. 3-1-w, 3-2-va of SC/ST POA Act",1,1324
"366, 417, 343, 376(2)(i) of IPC and Sec. 4 of POCSO Act.",1,1325
"366,212 344,376(1) r/w 34 of IPC and Section 4,6,17,21(1) of POCSO act",1,1326
"366,344,376(2)(I)(N) r/w  34 of IPC  and Sec. 5(2)(j), 6, 17 of POCSO Act and Sec. 9, 10 of CMR Act",1,1327
"366,376 of IPC and Sec. 4,6,12  of Pocso Act",4,1328
"366,376(2)(i) of IPC and Sec. 4, 17 of POCSO Act.",1,1330
"366,376(2)(n) IPC and Sec 4,6 POCSO Act and Sec 9 PCM act and Sec 3(1)(w)(1),3(2)(v) SC ST act",1,1331
"366,376(2)(n) of IPC and Sec 6 of POCSO Act and Sec 10 of PCM Act",1,1332
"366,376(2)(N) of IPC and Sec.6 of POCSO Act",2,1329
"366,376(2)(n), 115 of IPC 1860 sec. 6,17 of POCSO Act and sec. 9 of CMR Act Sec. 3(1)(w)(1) of SC/ST",1,1333
"366,376(2)(n), 343 of IPC and Sec. 4, 6 of POCSO Act.",1,1334
"366,376(2)(n),114 of IPC and Sec.4,5(l),6 of POCSO and Sec.9 of CMR Act and Sec. 3(1)(w)(i) of SCST.",1,1335
"366,376(2)(n),506 of IPC and Sec. 6 of POCSO ACt",1,1336
"366,376(2))(n),506 of IPC and Sec. 6 of POCSO Act",1,1337
"366,376,34 of IPC and sec.4,6,12,17 of POCSO Act and sec. 9,10 of PCM Act",1,1338
"366A, 376(2)(o), 506,34 of IPC and Sec. 5(L), 6 of POCSO Act",1,1339
"37, 38, 39 of Karnataka Money Lenders Act 1961 and Sec. 3,4 of KP , 3, 18 OF KP Act, 420 of IPC",2,1342
"376 506 IPC A AND 6 POCSO ACT",1,1365
"376 of IPC and Sec 3 Cl 1 10 11 and 3 Cl2 5 of SC ST PA Act 1989",21,1368
"376 of IPC and Sec. 4 of POCSO Act",10,1369
"376 of IPC and Sec. 4, 6 of POCSO Act",1,1370
"376 of IPC and Sec. 4, 8 ,12 of POCSO Act",1,1371
"376 of IPC and Sec. 6 of POCSO Act.",3,1372
"376(1) of IPC and Sec. 3(2)(w) of SC/ST POA Act",1,1374
"376(2) (I) IPC and sec.4 of POCSO Act 2012",1,1375
"376(2) of IPC and Sec. 4 of POCSO Act  Sec.10, 11 of  CMR Act",8,1376
"376(2) of IPC and Sec. 6 of POCSO Act  Sec.9, 10, 11 of  PCM Act",1,1377
"376(2)(1), 450, 109 r/w 34 of IPC and Sec. 5(G), 5(m), 6, 8 of POCSO Act",1,1378
"376(2)(f), 114 r/w 34 of IPC and Sec. 4, 17 of POCSO Act.",1,1386
"376(2)(f), 376(2)(i)(n), 506 of IPC and Sec. 6 of POCSO Act",1,1387
"376(2)(f), 376(2)(n) of IPC 1860 and Sec.5(J)(II), 6 of POCSO Act.",3,1388
"376(2)(f), 376(2)(n), 506 of IPC and Sec.4, 6 of POCSO Act.",2,1389
"376(2)(f),376(2)(i)(n),506 of IPC and Sec.6 of POCSOand Sec.3(1)(w)(i)(ii),3(2)(va),3(2)(vii) SC/ST",1,1390
"376(2)(i) of IPC 1860 and Sec. 4 of POCOS Act 2012",1,1391
"376(2)(i) of IPC and Sec. 6 of POCSO Act",3,1392
"376(2)(i)(n)  of IPC 1860 and Sec. 6, 8, 12  of POCSO Act 2012 and Sec. 10, 11 of CMR Act 2006",1,1393
"376(2)(i)(n)  of IPC 1860 and Sec. 6,8 of POCSO Act 2012 and Sec. 9of CMR Act 2006",6,1394
"376(2)(i)(n) of IPC and Sec 4, 6 of POCSO Act",1,1395
"376(2)(i)(n) of IPC and Sec. 5(j)(2), 6 of POCSO Act.",1,1396
"376(2)(i)(n) of IPC and Sec. 9 of CMR Act and Sec. 6,8 of POCSO Act and Sec. 3(1)(w)(i)(ii) of SC/ST",1,1397
"376(2)(i)(n), 366, 417, 344, 498A of IPC  and Sec. 4 of POCSO Act.",1,1398
"376(2)(i)(n), 366A, 506 of IPC and Sec.6 of POCSO Act.",1,1399
"376(2)(i)(n), 376(F) of IPC 1860 and Sec. 9, 10, 11 of CMR Act and Sec.6 of POCSO Act.",1,1400
"376(2)(I)(n), 417, 506 of IPC and Sec. 6 of POCSO Act.",1,1380
"376(2)(i)(n), 504, 417 of IPC and Sec. 4 of POCSO Act.",1,1401
"376(2)(i)(n),313,506 of IPC and Sec.6 of POCSO Act and Sec.3(1)(w)(i)(ii),3(2)(v),3(2)(va) of SC/ST",1,1402
"376(2)(i), 376(2)(f) of IPC and Sec. 4 of POCSO Act and Sec. 9,10 of PCM Act",1,1403
"376(2)(I), 417 of IPC and Sec. 4 of POCSO Act.",1,1381
"376(2)(I), 506 of IPC and Sec. 4, 5(J)(II), 6 of POCOS Act.",1,1382
"376(2)(i),376(2)(n),504,506 of IPC and Section 6 of POCSO ACt",1,1404
"376(2)(I),506 of IPC 6 of POCSO Act",1,1383
"376(2)(n) IPC and Sec.6 POCSO and Sec.9 of PCM Act and Sec. 3(1)(w)(i)(ii), 3(2)(v) of SCST POA Act",2,1405
"376(2)(n) of IPC 1860 and sec 6,17 of POCSO Act 2012 and sec 9,10 of PCM Act 2006",1,1406
"376(2)(n) of IPC 6 of POCSO Act",1,1407
"376(2)(n) of IPC and Sec. 6 of POCSO Act and Sec. 9 of PCM Act.",1,1409
"376(2)(n) of IPC and Sec. 6 of POCSO Act and Sec. 9, 10 of CMR Act.",1,1410
"376(2)(n) of IPC and Sec. 6 of POCSO Act",16,1408
"376(2)(n) of IPC and Sec. 6, 8, 14  POCSO Act and Sec. 3(1)(w)(i)(ii), 3(2)(v) SC/ST of POA Act.",2,1411
"376(2)(n) of IPC and Sec. 9, 10 of Prohibtion of Child Marriage Act and Sec. 6, 17 of POCSO Act.",1,1412
"376(2)(N) of IPC and Sec.6 of POCSO Act  and Sec.3(1)(W)(i)(ii),3(2)(V) of SC/ST",2,1384
"376(2)(N) of IPC and Sec.6 of POCSO Act.",2,1385
"376(2)(n), 343 of IPC 1860 and Sec.5, 6, 17 of POCSO Act, 2012 and Sec.9 of PCM Act, 2006.",1,1413
"376(2)(n), 343,  r/w 34 of IPC  and Sec.5,6,17  of POCSO Act and Sec. 9 of Child Marriage Act",6,1414
"376(2)(n), 376(f) of IPC and Sec. 5(n)(6) of POCSO Act",1,1415
"376(2)(n), 417 of IPC and Sec. 3(1)(w)(I), 3(2)(5a) of SC/ST POA Act",1,1416
"376(2)(n), 417, 323, 506 of IPC and Sec. 4, 5(j)(2) , 6 of POCSO Act",1,1417
"376(2)(n), 506 of IPC and Sec. 3(1)(w),(i)(ii), 3(2)(va) SC/ST of POA Act and Sec. 6 of POCSO Act.",1,1418
"376(2)(n), 506 of IPC and Sec. 5(j)(ii), 6 of POCSO Act",1,1419
"376(2)(n), 506 of IPC and Sec. 6 of POCSO Act",12,1420
"376(D) of IPC and Sec. 3(1)(12), 3(2)(5) of SC/ST POA Act",1,1421
"376(D), 370, 342 r/w. 34 of IPC 1860 and Sec. 4, 8, 12 of POCSO Act",1,1422
"376(f), 376(2)(n)  of IPC and Sec. 6 of POCSO Act",6,1423
"376(n), 366(a) of IPC and Sec. 4, 6, 8(l) of POCSO Act and Sec. 9 of Child marriage Act",1,1424
"376, 302, 304(B) r/w. 34 of IPC and Sec. 3, 4 of Dowry Prohibitino Act, 1961 and  4, 6 of POCSO Act",2,1425
"376, 342, 361, 366 r/w. 34 of IPC and Sec. 5, 6 of POCSO Act",1,1426
"376, 366(A), 506 of IPC and Sec. 6 of POCSO Act.",1,1427
"376, 376,2,I,N, 506 IPC and 4,6 POSCO Act",26,1428
"376, 420, 417 of IPC and Sec. 3-1-w, 3-2-5a of SC/ST POA Act",1,1429
"376, 504, 506, 417 of IPC 1860 and Sec. 3(1)(W)(i)(ii), 3(2)(va) of SC/ST POA Act",1,1430
"376, 506  of IPC and Sec. 8, 6 POCSO  Act",2,1431
"376, 506 IPC and Sec. 5(j)(2) of POCSO Act",2,1432
"376, 506 of IPC and Sec. 3, 4 of POCSO Act and Sec. 67(b) of I.T Act",1,1433
"376, 506 of IPC and Sec. 4, 8 of POCSO Act",2,1434
"376, 506 of IPC and Sec. 6, 8 of POCSO Act",1,1435
"376,376(2)(f),376(2)(i) ,376(2)(n) 506 of IPC and Sec. 6 of POCSO Act.",3,1436
"376,506 IPC AND 6 PCSO ACT 2012",1,1437
"376,511 of IPC and U/Sec 4 of the Protection of Children from Sexual Offence Act 2012.",2,1438
"376AB of IPC and Sec. 5(n),6  of POCSO Act",2,1439
"376AB, 450, 109 r/w 34 of IPC and Sec. 6, 8, 17 of POCSO Act.",1,1440
"377, 506 of IPC and Sec.4, 6, 8 of POCSO Act",1,1441
"379 IPC  86 87 Karnataka Forest Act",2,1442
"379 IPC 192 KLR ACT 21 4 A MMRDR ACT",10,1443
"379 IPC 192 KLR ACT 21 4A MMRDR ACT",1,1444
"379 IPC 4 of 1 A and 21 MMRD Act",128,1445
"379 IPC 8 9 11 Karnatak Prevention of Cattle Prevention Act 11 (1) (D) (E)  PCA ACT 192 179 M V ACT",1,1446
"379 IPC and 42, 43(2), 44 KMMC Rule and 21(1) of MMRD Act",1,1447
"379 of IPC 1860 and Sec. 3, 44(1), 44(2) of KIMMC Rule 1994",6,1450
"379 of IPC 1860 and Sec. 42, 43, 44 of KMMC Rule 1994 and Sec. 21(1)(1A) of MMRD Act 1957",54,1451
"379 of IPC and 21 MMRD Act.",26,1452
"379 of IPC and 31R(13) of KNS Policy and 4(1), 4(1A), 21 of MMDR Act and 42,43,44  of KMMC Rule",11,1453
"379 of IPC and 42 , 44 of KMCCR 1994 Act.",2,1454
"379 of IPC and 42, 43(2),43, 44 of KMMC Rule and 31R(13) of KNSP Act and Sec. 21(1) of MMRD Act",14,1455
"379 of IPC and 42, 43, 44 of KMMC Rule and Sec. 31R(13) of KNSP",14,1456
"379 of IPC and 44 of KMMC Act and Sec. 21 of MMRD Act",3,1457
"379 of IPC and Sec. 13, 31(r), 44 of KMMC rule",1,1458
"379 of IPC and Sec. 21 of MMDR Act and Sec. 44(1) of KMMC Rules",1,1459
"379 of IPC and Sec. 21 of MMRD Act 1957 and Sec. 44(1), 44(2) of KMMC Rule 1994",5,1460
"379 of IPC and Sec. 21(1) of MMDR Act and Sec. 42, 44 of KMMC Rule",8,1461
"379 of IPC and Sec. 21, 44(1) of MMDR Act",2,1462
"379 of IPC and Sec. 3(1), 42(1), 44(1), 44(2) of KMMC Rule",6,1463
"379 of IPC and Sec. 31(r), 13, 17 of KMMC Rule and sec. 21(1), 4(1A) of MMRD Act",1,1464
"379 of IPC and Sec. 31(r), 42,  43, 44 of KMMC Rule 1994 and Sec. 21(1(1A) MMRD Act 1957",12,1465
"379 of IPC and Sec. 31R(13) KNS Policy and Sec. 42,  44(1), 44(2) of KMMC Rule",55,1466
"379 of iPC and Sec. 4(1A), 21(1) of MMDR Act 1957",4,1479
"379 of IPC and Sec. 41(1), 42, 43 of KMMC Rule 1994 and Sec. 4(1a) of MMRD Act.",1,1467
"379 of IPC and Sec. 42(1), 3(1), 44(1), 44(2) of KMMC Rule 1994",2,1468
"379 of IPC and Sec. 42, 43, 44  of Karnataka Minor Mineral Consistent  Rule 1994.",15,1469
"379 of IPC and Sec. 42, 43, 44 of KMMC Rule and Sec. 21(1)(1A) of MMRD Act",4,1470
"379 of IPC and Sec. 42,43, 44 of KMMC Rule and Sec. 31R(13) of KNSP Act and 2(1)(1a) of MMDR Act",4,1471
"379 of IPC and sec. 42,43,44, 3(1) of KMMC Rule and Sec. 4 of MMDR Act 1957",1,1475
"379 of IPC and Sec. 43(2) of KMMC Rule and Sec. 31R(13) KNS Policy 2011.",15,1472
"379 of IPC and Sec. 43(2) of KMMC rule",13,1473
"379 of IPC and Sec.42,43,44 KMMC Rule and Sec. 31R(13)of KNSP and Sec.4(1),4(1A), 21(1)(1A) of MMDR",12,1474
"379 of IPC, 21(1) of MMRD Act and Sec. 42, 43(2), 43, 44 of KMMC Rule",7,1476
"379 of IPC, 31(r), 36, 42, 43, 44 of KMMC Rule, 4(1)(1A), 21 of MMRD Rule",3,1477
"379 of IPC, 42, 4(1)(a), 21(a) of MMRD Act and Sec. 31R of KNSP Act",1,1478
"379 r/w 34 of IPC and Sec. 42,43,44 of KMMC Rule   31R(13) of KNS Polic",7,1480
"379 Rw 34 IPC and 86 of Karntaka Forest Act 63",2,1448
"379, 188 IPC, 192(A) KLRACT 21(4A) MMRD Act",16,1481
"379, 420 IPC and sec,44(2) of KMMC Rules 1994",2,1482
"379, 420 IPC, 31R,  KNS Policy 2011 and 42, 44(1), 44(2) of KMMC Rule 1194",15,1483
"379, 420 IPC,and Sec. 4(1A), 21 of K.M. Act and Sec. 3(1), 42(1),44(1),44(2)  KMMC Rule 1994",14,1484
"379, 420 of IPC  and sec 42, 21(1), 44 of MMRD Act",3,1485
"379, 420 of IPC 1860 and sec. 42,43,17,13,12,31(r) of KMMC Rule 1994",2,1486
"379, 420 of IPC and 3 of Karnataka Minor Mineral Consistent Rule and Sec. 4, 3(1) of MMRD",1,1487
"379, 420 of IPC and 3, 43 of Karnataka MInor Mineral Consistent Rule 1994 and Sec. 4,3(1) of MMDR",1,1488
"379, 420 of IPC and 42, 44 KMMC Rule and 4(1), 4(1A), 21 of MMDR Act",4,1489
"379, 420 of IPC and 42, 44(1), 44(2)  of KMMC Rule and Sec. 31R3(r) of KNSP",74,1490
"379, 420 of IPC and 42,43(2), 43, 44 of KMMC Rule and Sec. 31R(13) KNSP and Sec. 21(1) MMDR",8,1491
"379, 420 of IPC and Sec. 3(1), 42, 43 of  KMMC Rule 1994",7,1492
"379, 420 of IPC and Sec. 3, 34 of KMMC Rule and Sec. 4, 3(1) of MMDR  Act",2,1493
"379, 420 of IPC and Sec. 3, 43 of KMMC Rule and Sec. 4, 3(1) of MMRD Act",1,1494
"379, 420 of IPC and Sec. 4(A), 21(1) of MMDR Act 1957",3,1495
"379, 420 of IPC and Sec. 42(1), 3(1), 44(2) of KMMC RUle 1994",3,1496
"379, 420 of IPC and Sec. 42, 43, 44 of KMMC Rule",3,1497
"379, 420 of IPC and Sec. 42, 43, 44, 31(R) of KMMC Rule 1994",19,1498
"379, 420 of IPC and Sec. 42, 44 of KMMC Rule and Sec. 21(1) of MMRD Act",18,1500
"379, 420 of IPC and Sec. 42, 44 of KMMC Rule",15,1499
"379, 420 of IPC and Sec. 43(2) of KMMC Rule",27,1501
"379, 420 of IPC and Sec. 43, 44 of KMMC Rule",3,1502
"379, 420 of IPC and Sec. 44(1), 44(2) of KMMC Rule 1994",8,1503
"379, 420 of IPC and Sec. 44(1)3(1) of KMMC Rule and Sec. 31R(13) of KNSP Act",5,1504
"379, 420 of IPC and Sec. 44(2) of Karnataka Minor Mineral Consistent Rule 1994",11,1506
"379, 420 of IPC and Sec. 44(2) of KMMC rule",3,1505
"379, 420 of IPC, 3(1), 42 of KMMC Rule, 4(1)4(1A) of MMRD Act",4,1507
"379, 420 of IPC, 42, 43, 44 of KMMC Rule, 31R(13) of KNSP, 21(1)(A) of MMRD Act",4,1508
"379, 420, r/w 34 of IPC 1860 and Sec. 31(r) of KNS Policy 44, 42, 43 of KMMC Rule 1994",9,1509
"379, 420of IPC and Sec. 42, 44(1), 44(2) of KMMC Rule and 31R(13) of Karnataka New Sand Policy",10,1510
"379, IPC, 42, 43, 44,31(r)  KMMC Rule 1994",4,1511
"379,420 IPC and Sec.3(1),42(1),44(1),44(2) KMMC Rule and 21 MMDR Act 1957",2,1512
"379,420 IPC, Sec.42(1),3(1),44(1),44(2), KMMCR 1994 and sec. 4(1),4(1A) MMDR Act 1957",3,1513
"379,420 IPC,Sec.42,43,44 KMMC Rule 1994, Sec.21(1),(1A) MMDR act and 31R(13)KNS Policy",1301,1514
"379,420 r/w 149 of IPC 1860 and Sec. 42,43,44 KMMC Rule 1994 and Sec. 31(R) (13) KNS Policy 2011",7,1515
"379,420 r/w 34 of IPC, 42, 43, 44 of KMMC Rule, 31R(13) of KNSP",10,1516
"379,420,511 IPC, Sec.42,3(1) of KMMCR 1994, 192 KLR Act 1964 and 4(1),4(1A) of MMDR Act 1957",3,1517
"4(1), 21(1) MMDR act and 420 OF IPC",1,1581
"4,5 of Exp.Subs.Act, 42(1),3(1),44(1),44(2) of KMMC Rule, Sec.4(1A), 21 of MMDR Act, 379,420,286 IPC",1,1589
"406, 417, 418, 420, 506 of IPC and Sec. 3(1)(r), 3(1)(s), 3(1)(z) of SC/ST POA Act.",1,1605
"41  1  d  102 Cr.P C and 379 I P C",4,1607
"41 1   D  Crpc and 379 IPC",3,1608
"417, 376, 341 of IPC and Sec. 4, 6 of POCSO Act.",1,1626
"419 IPC 118 Karnataka Education act 1983",1,1627
"419, 420 readwith 34 of I.P.C",1,1628
"420 IPC, 44(1), 44(2) KMMC Rule, 9B Explosive Act and Sec. 5 of E.S. Act",1,1638
"420 of IPC and Sec. 43(2) of KMMC Rule",4,1641
"427 IPC AND 3 PDPP ACT",1,1642
"427, 143, 504, 144, 147, 323, 307, 326, 148 r/w. 149 of IPC and Sec. 3-1-10 of SC/ST POA Act",1,1643
"427, 447, 504 r/w 34 of IPC and Sec. 3(1)(f), 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST of POA Act.",1,1644
"427, 504,506, 447 r/w 34 of IPC and Sec. 3(1)(f), 3(1)(r), 3(1)(u), 3(1)(z) of SC and ST Act 1989.",2,1645
"427,109,143,506,504,353 of IPC and Sec.3 of PDPP Act1984 Sec.324,117,148,333,307,149 of IPC 4 of PDP",1,1646
"435,436,427,153A,295A,114,120B,188 r/w 34 IPC  and sec. 2 of KPDLP 1981 and 4 of PDP 1984",1,1657
"44(2) of KMMC Rules, Sec 379, 420 IPC",2,1665
"447, 341, 504, 506 r/w 34 of IPC and Sec. 3(1)(r)(s)(2)(va), 3(1)(I) of SC/ST POA Act.",1,1669
"447, 427, 504 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s), 3(1)(g), 3(2)(va) of SC/ST of POA Act.",1,1670
"447, 448,504, 506,    r/w. 34 of IPC and Sec. 3(1)(x)of SC/ST POA Act",4,1671
"447, 504, 506 r/w. 34 of IPC and Sec. 3(1)(10) of SC/ST POA Act",1,1672
"447,324,504, 354,506 of IPC and Sec.3(1)(f), 3(1)(s), 3(1)(r), 3(2)(va) of SC/ST POA Act",1,1673
"447,354,504,427,506,341,323 r/w 34 of IPC, Sec.3(1)(f),3(1)(g),3(1)(r),3(1)(s),3(1)(w),3(2)(va)SC/ST",1,1674
"448, 323, 307, 506  r/w 34 of IPC and 3(1)(r) , 3(1)(w)of  SC/ST of POA Act.",2,1675
"448, 323, 354(B) of IPC and Sec. 3(1)(w)(i), 3(2)(va) of SC/ST POA Act",1,1677
"448, 354 of IPC  and Sec. 8 of POCSO Act",1,1678
"448, 354(B), 323, 324 of IPC and Sec. 3(1)(w)(i) of SC/ST POA Act",2,1679
"448, 354, 504, 323, 506, 427 r/w 34 of IPC and Sec. 3(1)(g), 3(1)(r), 3(1)(z) of SC/ST POA Act.",1,1680
"448, 376(2), 376(F), 376(L), 376(N), 506 of IPC and Sec. 6 of POCSO Act",1,1681
"448, 427, 506, 366, 376  r/w. 34 of IPC and Sec. 3, 4 of POCSO Act",1,1682
"448, 504, 323,  354, 506 r/w. 34 of IPC, and Sec. 3(1)(s), 3(1)(r), 3(1)(W)(I) of SC/ST POA Act",2,1683
"448, 504, 323, 354, 427, 506 r/w. 34 of IPC and Sec. 3(1)(11) of SC/ST POA act",1,1684
"448, 504, 323, 506, of IPC and Sec. 3(1)(r), 3(1)(s) of SC/ST  POA Act.",1,1685
"448,354 of IPC and Section 12 of POCSO Act",1,1686
"448,354(b),506 of IPC and Sec.3(1)(w),3(2)(va)of SC/ST POA Act.",1,1687
"448,504,323,506, 34 of IPC and Sec. 3(1)(r)3(1)(s) of SC/ST POA Act.",1,1688
"450, 376(2)(f)(i)(n) of IPC and Sec 6 of POCSO Act",1,1689
"450, 376(2), 376(f), 376(i), 376(n), 506 of IPC and Sec. 5(j)(ii), 5(L), 6 of POCSO Act",1,1690
"450,435,436,341,326, 389, 397, 398,120(B),124(A) of IPC and Sec.10,13 The Un law ful Activities Act",3,1691
"451  365  344  323  504  506 R/w 34 IPC and 3 .I. X.   of SC ST  ACT 1989",3,1692
"498 A 304 B 306 RW 34 IPC 3 4 6 DP Act",1,1703
"498 A,494,506,Red With 34 IPC AND 3 AND 4 DP ACT",1,1704
"498(a), 323,504,506,376 r/w 34 of IPC  Sec. 3,4 of D.P Act 9,10,11 of PCM Act sec. 4,12 of POSCO",5,1708
"498(A), 324, 504, 506 of IPC 1860 and Sec. 4 of POCSO Act",1,1706
"498(A), 506 r/w 34 IPC and Sec. 3, 4 D.P. Act and Sec. 3(1)(xi) of SC/ST POA Act",1,1707
"498A , 506 of IPC and Sec. 3(1)(u) ,3(1)(r), 3(2)(va)  of SC/ST POA Act.",1,1710
"498A 354 448 323 504 506IPC and  3, 4 Dowry Prohibition Act",1,1711
"5 0f explo, 9B of explo, 44 of KMMCR, 21 of MMRD, 47 of ER, 379, 420, 308 of IPC.",1,1719
"504  447, 354, 324,  506, r/w. 34 of IPC and Sec. 3(1)(s)(1)(w) (1)  of SC/ST,  POA Act",3,1744
"504 r/w 34 IPC and Sec. 3(1)(r), 3(1)(g), 3(1)(z) of SC/ST POA Act",4,1746
"504, 323 of IPC and Sec. 3(1)(10) of SC/ST POA Act",2,1747
"504, 323 of IPC and Sec. 3-1-s of SC/ST POA Amendmend Ordinance Act",1,1748
"504, 323 r/w. 34 of IPC and Sec. 3(1)(10) of SC/ST POA Act",3,1749
"504, 323 r/w. 34 of IPC and Sec. 3-1-r, 3-1-s of SC/ST POA Amendment Act",1,1750
"504, 323, 324, 506 of IPC and Sec. 3(1)(r),3(1)(s) of SC/ST of POA Act",1,1751
"504, 323, 324,506 of IPC and sec. 3(1)(s) of SC/ST POA Act.",2,1752
"504, 323, 354, 506 r/w 34 of IPC and Sec. 3(1)(s), 3(2)(va) of SC/ST of POA Act.",1,1753
"504, 323, 355 of IPC and Sec. 3(1)(10)(11) of SC/ST POA Act",1,1754
"504, 323, 355, 506, 34 IPC and sec. 3(1)(r), 3(1)(s), 3(2)(v-a) of SC/ST POA Act",5,1755
"504, 323, 506 r/w 34 IPC and sec. 3(1)(S), 3(2)(VA) of SC/ST POA Act",4,1756
"504, 324 of IPC and Sec. 3-1-10 of SC/ST POA Act",1,1757
"504, 324, 355 r/w 34 IPC and Sec. 3(1)(10(11) of SC/ST POA Act",1,1758
"504, 324, 355, 323, 354(B), 506 r/w 34 IPC and Seec. 3(1)(s), 3(1)(w)(i) of SC/ST POA Act 2014",1,1759
"504, 354(B), 323, 506 r/w 34 of IPC and Sec. 3(1)(m), 3(2)(va) of SC/ST POA Act",1,1760
"504, 506 of IPC and Sec. 3(1)(10) of SC/ST POA Act",1,1761
"504, 506 of IPC and Sec. 3-1-10 of SC/ST POA Act",3,1762
"504, 506 r/w 34 IPC and 3 ,I, ,X, of SC/ST P A Act 1989",5,1763
"504, 506 r/w. 34 of IPC and Sec. 3(i)(x) of SC/ST POA Act",1,1764
"504, 506 r/w. 34 of IPC and Sec. 3-1-r, 3-1-s, 3-2-va of SC/ST POA Act",1,1765
"504, 506 r/w.149 of IPC and Sec. 3-1-r, 3-1-s,3-1-w-2 of SC/ST POA Amendment Act",1,1766
"504, 506, 323 of IPC and Sec. 3-1-x of SC/ST POA Act",4,1767
"504, 506, 323 r/w 149 of IPC and sec. 3(1)(r), 3(1)(s) of SC/ST POA Act.",1,1768
"504, 506, 323, 324 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST of POA Act.",1,1769
"504, 506, 323, 324 r/w 34 of IPC and Sec. 3(1)(s) of SC/ST POA Act.",1,1770
"504, 506, 323, 324, 34  of IPC and Sec. 3(1)(s), 3(2)(va) of SC/ST POA Act.",2,1771
"504, 506, 323, 448 r/w 34 of IPC and Sec. 3(1)(10) of SC/ST POA Act",1,1772
"504, 506, 34 of IPC and sec. 3(1)(r), 3(1)(s) of SC/ST  POA Act.",2,1773
"504, 506, 447 of IPC and Sec. 3(1)(5), 3(10) of SC/ST POA Act",1,1774
"504, 509 of IPC 1860 and Sec. 11 of POCSO Act",2,1775
"504, 509 of IPC and Sec. 4, 6, 10 of POCSO Act",1,1776
"504,143,147,324 r/w 149 IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",2,1777
"504,323,324,342,427,506 r/w 34 of IPC and Sec. 3(1)(r), 2(s-a) of  SC/St(POA) Act",1,1778
"504,323,341 of IPC and Sec.3(1)(r), 3(1)U) of SCST POA Act",1,1779
"504,323,355,354,506 r/w 34 IPC 1860 and Sec.3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(va)of SC/ST  POA Act",2,1780
"504,323,506 r/w 34 of IPC and Sec.  3(1)(R), 3 (2)(va) SC/ST POA Act",2,1781
"504,341,323,354(B),506,509 of IPC and sec. 3(1)(r),3(1)(s),3(1)(w)(1), 3(2)(va) of SC/ST POA Act.",2,1782
"504,506,448323,354(b),427 r/w 34  of IPC and sec. 3(1)(r),3(1)(s), 3(1)(zc), 3(2)(va) of SC/ST  Act",1,1783
"506 498(a)  of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act.",4,1785
"506 of IPC and Sec, 3-1-10 of SC/ST POA Act",1,1786
"506 of IPC and Sec.3-1-r of SC/ST POA Amendment Act.",1,1787
"506, 376(2)(i)(n) , 450 of IPC and Sec. 4, 8  of POCSO Act",8,1788
"506, 376, 450 of IPC and Sec. 4 of POCSO Act",1,1789
"506, 448, 504 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s) of SC/ST of POA Act.",1,1790
"506, 504, 143, 144, 147, 148, 149, 323, 324 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA",2,1791
"506, 504, 143, 144, 323, 354, 448 r/w. 149 of IPC and Sec. 3(1)(10(11) of SC/ST POA Act",1,1792
"506, 504, 323 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",2,1793
"506, 504, 323, 324 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act.",2,1794
"506, 504, 323, 324 r/w. 34 of IPC and Sec. 3(1)(11) of SC/ST POA Act.",2,1795
"506, 504, 324  r/w. 34 of IPC and Sec. 3(1)(s)(r) of SC/ST POA Act",2,1796
"506, 504, 324 r/w 34 IPC and Sec. 3(1)(10) of SC/ST POA Act",1,1797
