act_s,count,act
"U P Motor Vehicle Rules",3159,17965
"U S 185 IMV Act",380,17974
"U S 429 IPC,U S 11(1)(A)of PQA Act, US 11,9,8,4, of KPCS,CPA,US 117,192(A),177,IMV,US56,47,of TA Act",3,17978
"U Sec 150,A and 2,  Of M.V. ACT 1989",28,18014
"U Sec 163 A and 166 of MV Act 1989",1,18016
"U Sec 163 A Of The MV ACT 1988",79,18015
"U Sec 166 Of M.V. ACT 1989",584,18020
"U SEC 185 MVAct",19,17986
"U Sec 66 R/w 192 (A) 82 (A) IMV Act",1,18045
"U sec. 185  mv act",39,18105
"U sec.181, 185 IMV Act",95,18106
"U Section 196 146 of IMV Act",1,18074
"U. Section 279, 304 A of IPC redwith 181 of IMV Act",4,18120
"U.O.47 Rule. 1 Sec.166 and 173 M.V.Act.",1,18148
"U.P. Motor Vehicle Rule",4,18193
"U.s. 185 MV Act",5,18331
"U.s. 185 of M.V. Act",38,18332
"U.S.185 IMV Act",7,18218
"U.sec. 1. 66 1  r/w 182 A  IMV Act 2.105r/w 179 IMV Act 3. 14 1  r/w 177 IMV Act",7,18341
"U.Sec. 166(1) of Motor Vechile Act",1,18230
"U.sec. 185 IMV Act",59,18344
"U.Sec.166 of M.V.Act",121,18282
"U.Section 185 of IMV Act",684,18297
"U/ sec 185 IMVAct 14(1) r/w 177 IMV Act 3(1) r/w 181 IMV Act",2,18373
"U/O 166/1/C/2/ of MV Act",5,18407
"U/o 166A of MV act",9,22040
"U/O IX RULE 3 AND 4 R/W Sec.151 OF C.P.C. AND RULE 254 OF MOTOR VEHICLE RULES",21,19064
"U/R 239 of M.V. Act 1989",101,19462
"U/S  146 R/W 196 OF IMV ACT",2,19478
"U/S  177 IMV ACT R/W FIRST M3 AND M18, SEC 185  IMV ACT AND SEC 105 R/W 177 CLAUSE 1 IMV ACT",1,19479
"U/S 106 A of Motor Vehicle Act",1,19589
"U/s 11 8 K p cow sla catte pre Act and 192A 179 mvact 11 1 A Pre of cru to animals Act",1,22819
"U/S 112 R/W 183 CL 1 IMV ACT",9,19613
"U/S 112 R/W 183 CL IMV ACT",2,19614
"U/s 112 r/w 185 of IMV Act",3,22826
"U/S 128 CL 1 R/W 177 IMV ACT",8,19685
"U/S 128 IMV ACT 177, 184 AND 185 IMV ACT",2,19688
"U/s 128(a) r/w 177,119 r/w 177, rule 230 r/w 177 IMV ACT",14,22859
"U/S 130 cl 1 R/W 177 IMV ACT",7,19870
"U/S 130 OF 1 R/W  177 AND 66 OF 1 R/W  192 IMV ACT",5,19868
"U/s 130 r/w 177 IMV act",1,22954
"u/s 130 r/w 177(1), Sec. 130 r/w 177(1), Sec. 130 r/w 177(1) of M.V.Act",1,28712
"u/s 130 r/w 177(1), Sec. 16r/w 177,Sec.14(a)(b) r/w177,Sec. 192(A) of M.V.Act",2,28713
"U/s 130 r/w 177(1),Sec.16 r/w 177,Sec.100 r/w 177, Sec. 14(a)(b) r/w 177 of M.V.Act",2,22955
"U/S 130, 16, 56 R/W 177 IMV ACT",2,19871
"U/S 130, 16, 56, R/W177 IMV ACT",9,19872
"U/S 130,16, 56 R/W 177 IMV ACT",3,19873
"U/S 134 IMV R/W 177 IMV ACT",3,19876
"U/S 138 R/W 177 IMV ACT AND 196 R/W 177 IMV ACT",1,19892
"U/S 14 CL 1 R/W 177 IMV ACT",5,19909
"u/s 14 R/w 177 M.V.Act.and 177 M.V.Act.and 158 A  R/w 177 M.V.Act.",18,28720
"U/s 14 R/w 177 Mv Act",2,22982
"u/s 14 r/w 177, 185 of MV Act",1,28721
"u/s 14(a)(b) r/w 177, 15(a) r/w 177, 130 r/w 177(1) of M.V.Act",2,28722
"u/s 14(a)(b) r/w 177, Sec. 15(a) r/w 177, Sec 100 r/w 177,Sec 130 r/w 177(1), Sec.16 r/w 177 of MV.",2,28723
"u/s 14(a)(b) r/w 177,,146 r/w 196, 115 r/w 190(2), ,83(B),15(a) r/w 177 of M.V.Act",1,28724
"u/s 14(a)(b) r/w 177,Sec.66 r/w 192, Sec. 130 r/w 177(1) of M.V.Act",2,28725
"u/s 14(a)(b),15(a)(b),100,16 r/w 177,Sec. 130 r/w 177(1) of M.V.Act",4,28726
"u/s 14(a)(b),16 r/w 177, 3(1) , .66 r/w 192,Sec. 130 r/w177(1)  of M.V.Act",1,28727
"U/S 140 and 166 of Motor Vehicles Act and R/W section 232 of Motor Vehicles Rules",1,19916
"U/s 146 r/w 196 IMV Act",2,23001
"U/s 15 A R/w 177 of MV Act and 123 2",4,23008
"U/S 15 CL 2 SUB CL ix R/W 177 IMV ACT",4,19945
"U/s 158 ,1, ,C,  158 ,1, 115 r/w 177 of MV Act",1,23018
"U/S 158 1 C R/W Sec 177 MV Act",1,19979
"U/s 158 Clause 6 of MV Act",2281,23020
"U/S 163 A IMV ACT",23,19985
"U/s 163 A of Motor Vehicle Act 1988",3,23025
"U/S 163 CL A OF IMV ACT",1,19987
"U/S 163 OF A   M.V.ACT",20,19988
"U/s 163 of M.V.Act 1988",7,23026
"U/S 163(A) OF MV ACT",704,19989
"U/S 163A OF M.V.ACT",68,19990
"U/s 163A of Motor Vehicles Act",2,23027
"U/S 163A OF MV ACT",148,19991
"U/S 166 1 CL a OF M.V. ACT",98,19994
"U/S 166 1 OF MV ACT 1988",1222,19996
"U/S 166 1 OF MV ACT",6,19995
"U/S 166 2 OF IMV ACT",228,19997
"U/S 166 2 OF THE M.V ACT",150,19998
"U/S 166 A OF MV ACT",9,19999
"U/s 166 B of Motor Vehicle Act",26,23031
"U/S 166 CL 1 IMV ACT",13,20000
"U/s 166 i c Amended IMV Act 1988",1,23034
"U/S 166 MV ACT",1309,20001
"U/S 166 MV Act",23210,20002
"U/S 166 OF 1 C OF MV ACT",105,20003
"U/S 166 of IMV Act Amended",5,20016
"U/S 166 OF IMV ACT",510,20005
"U/s 166 of IMV Act",883,23035
"U/S 166 of IMV Act",925,20015
"U/S 166 of IMV ACT, 1988",306,20014
"U/S 166 OF INDIAN MOTOR VEHICLE ACT",123,20006
"U/S 166 OF M.V ACT",450,20008
"U/s 166 of M.V. Act 1988 R/w Rule 232(1) and (2) of K.M.V.Rules",45,23036
"U/s 166 of M.V.Act",17765,23037
"U/S 166 of M.V.Act",386,20017
"U/s 166 of motor Vechicle act 1989",68,23042
"U/s 166 of Motor Vehicle Act",1920,23041
"U/s 166 of MV Act 1988",133,23038
"U/S 166 OF MV ACT 1989",50,20010
"U/S 166 of MV Act",3584,20018
"U/S 166 OF MV ACT",37425,20009
"U/s 166 of MV Act1989",574,23039
"U/S 166 of MV Amended Act",2116,20019
"U/S 166 OF THE MOTOR VEHICLE ACT 1989",100,20012
"U/S 166 of the Motor Vehicle Act 1989",15663,20021
"U/S 166 of the motor vehicle ACT 1989",567,20022
"U/S 166 OF THE MOTOR VEHICLE ACT",127,20011
"u/s 166 of the Motor Vehicles Act 1989",786,28743
"U/S 166 R/W 14 OF INDIAN MOTOR VEHICLE ACT",3,20013
"U/S 166/ I  C  MV Amendement Act",13,20023
"U/s 170 of MV Act",5,23046
"U/S 174 OF THE MOTOR VEHICLES ACT1988",18,20034
"u/s 177 and 158 M.V.Act.",61,28746
"U/s 177 and 185 M.V. Act",6,23055
"U/s 177 IMV rule 115 190(2) IMV ACT",1,23053
"u/s 177 M.V. Act  and  66 r/w 192(A)  MV Act  CMV Rule 115 r/w 190(2) IMV Act",1,28744
"u/s 177 M.V.Act. and 14 R/w 177 M.V.Act. and 158 R/w 177 M.V.Act.",10,28745
"U/S 177 MOTOR VEHICLE ACT",29,20035
"U/s 177 MV ACT,CMV RULE 115 R/W 190(2) IMV,CMV RULE 51 R/W 177 IMV,CMV RULE 120 R/W 177 IMV ACT",1,23054
"U/S 177 OF IMV ACT",11,20036
"U/s 177 r/w 201 IMV Act",1,23056
"U/S 177, 179 1 , 201 IMV Act",11,20037
"U/s 178 3 B IMVAct 196 IMVAct",10,23057
"U/S 179 IMV ACT",7,20038
"U/s 181 184 of IMV ACT",1,23073
"U/s 181, 184, 192.A IMV Act",3,23074
"U/S 183 177 105 158A  437 RW 177  158B RW 177  158C RW 177 IMV ACT",2,20066
"U/S 184 181 177 AND SEC 121 R/W 177 IMV ACT",2,20067
"U/S 184 IMV ACT",1,20068
"U/S 184 IMV ACT, RULE 100 IMV R/W 177 IMV ACT, SEC 66 CLAUSE 1 R/W 192 IMV ACT",2,20069
"U/S 184 IMV RULE 320 194 2 128 9 177 and 184 146 196 IMV ACT",1,20070
"U/s 184 MV ACT Rule 230 R/w 177 IMV ACT u/s 185 IMV ACT",2,23075
"u/s 184 R/W 188 M.V. Act",141,28753
"u/s 184 R/W 188, 3 R/W 181 M.V. Act",38,28754
"u/s 184 R/w 188. 3 R/w 181. 146 R/w 196  R/w 5 R/w 188 M.V.Act.",14,28755
"U/s 184 Rule 230 R/w 177 IMV Act",1,23076
"U/s 184, 177, 14 R/w 106 IMV",1,23077
"U/s 184, 29, r/w 182 56, r/w 182 146, r/w 196 of IMV Act Rule 52 r/w 182 IMV Act",1,23078
"U/s 184, 3 R/w 181 l 177 of MV Act",58,23079
"U/s 184,14 R/w 177, 36 R/w 197 MV Act",8,23080
"u/s 184,177 of M.V.Act",1,28756
"u/s 184,185,196,177 of M.V.Act",1,28757
"U/S 1845 AND 128 OF IMV ACT, 177 IMV ACT",1,20071
"U/s 185  and 3/ 181 MV act",26,23081
"u/S 185 184 AND 177 MV ACT",32,28493
"U/S 185 AND 158 CLS C IMV ACT",1,20072
"U/s 185 IMV ACT",13,23082
"U/s 185 IMV Act",24,23083
"U/S 185 IMV ACT",560,20073
"U/s 185 IMV Act.",107,23084
"u/s 185 M.V. Act and u/s 130 r/w 177(1) M.V.Act",1,28758
"u/s 185 mv act",6,28764
"U/s 185 of IMV Act",1,23087
"U/S 185 of IMV Act",58,20076
"U/s 185 of IMV act.",76,23088
"u/s 185 of M.V.Act",113,28766
"U/s 185 of MV Act",180,23089
"U/s 185 r/w 112 MV Act,  140/,A, ,B, r/w 177 IMV Act,  3 ,1, r/w 181 IMV Act",3,23090
"U/S 185 R/W 188 IMV ACT",9,20075
"u/s 185 R/W 188 M.V. Act",1986,28759
"u/s 185 R/W 188 M.V. Act, 14 R/W 177 M.V. Act",45,28760
"u/s 185 R/W 188 M.V. Act, 3 R/W 181 M.V. Act",262,28761
"u/s 185 R/w 188 M.V.Act.and 184 R/w 188 M.V. Act.",66,28762
"u/s 185 R/w M.V. Act. and 184 R/w 188 M.V. Act.",9,28763
"U/s 185 SEC 3 R/w 181 MV ACT",125,23085
"u/s 185, 190(2)  of M.V.Act",1,28767
"U/s 185, 3 r/w 181 of MV Act",73,23091
"U/s 185, 3 r/w 181 of MV Act, 146 r/w 196,177 of MV Act",18,23092
"u/s 185,, 3 r/w 181 of M.V.Act",13,28768
"u/s 185,177 of M.V.Act",3,28769
"u/s 185,179 of M.V.Act",2,28770
"U/S 185,181 MV Act",20,20077
"U/s 185,181,196 MV Act",1,23093
"u/s 185,184 and 113 r/w 194 of MV act",5,28771
"u/s 185,184 of M.V.Act",44,28772
"u/s 185,184,196 abd CMV Rule 115 r/w 190(2) of IMV Act",1,28773
"u/s 185,196 of M.V.Act",4,28774
"u/s 185,196,184 of M.V.Act",2,28775
"u/s 185,3 r/w 181, 177 of M.V.Act",5,28776
"u/s 187 of IPC and u/s 279,338,337 of IPC and u/s 134(A and B) of M.V.Act",1,28777
"u/s 190 M.V.Act and 14 R/w 177. 146 R/w 196 M.V.Act.",19,28780
"u/s 192  A  M.V.Act. 158 R/w 177. 14 R/w 177 M.V.Act.",19,28781
"U/s 192 W 1 IMVAct and 190 3 IMVAct",10,23097
"u/s 192,192(1),196,184 r/w 177 of M.V.Act",1,28785
"u/s 192,192(1),196,56 r/w 177 of M.V.Act",1,28786
"U/S 192.A R/w 66.1 IMV Act",3,20082
"U/S 196 MV Act",1,20084
"U/S 199 R/W 177 IMV ACT",1,20085
"U/S 201 CL 1 IMV ACT",4,20110
"u/s 210 r/w 177 IMV ACT",1,28791
"U/S 23 CL 10 R/W 177 IMV ACT",2,20146
"u/s 230 cl KMV RULES R/W 177 IMV ACT",2,28801
"u/s 230 r/w 177 of M.V. Act and u/s 185 of M.V.Act",2,28802
"U/S 236 MV Act.",31,20155
"U/S 239 of IMV Act",17,20156
"U/s 239 of MV Act",1,23152
"U/s 279 304 A IPC IMV Act U/s 134 A and B 177 MV act",2,23230
"U/s 279 304 A R/w 181 of MV Act",15,23231
"U/S 279 304 A R/W 184 187 IMV ACT",11,20339
"U/S 279 337  304A IPC RW SEC 3 RW 181 IMV ACT",2,20340
"U/s 279 337 285 IPC and 190 3 MVAct",1,23232
"U/S 279 337 304 A R/W 187 IMV ACT",3,20341
"U/s 279 337 338 and 134 R/w 187 MV Ac",20,23233
"U/S 279 337 338 IPC 5 (1) 180 IMV ACT  3(1) 181 IMV ACT",1,20342
"U/S 279 337 338 IPC RW 187 177 IMV ACT",1,20343
"U/S 279 338 AND SEC.14 R/W 106 MV ACT",1,20344
"U/s 279 338 of IPC and 134 MVAct",6,23235
"U/S 279 AND 337 IMV ACT",12,20345
"u/s 279 and u/s 185 of M.V.Act",2,28830
"U/s 279 IPC and 187 MVAct",4,23236
"U/S 279 R/W 184 IMV ACT",5,20347
"U/S 279 R/W 187 IMV ACT",28,20348
"U/S 279 RW 184  3  AND 181 IMV ACT",1,20349
"U/s 279, 304.A, IPC 187 fof MV Act, 181, 196 of IMV Act",1,23237
"U/S 279, 337 R/W 187 IMV ACT",58,20351
"U/S 279, 338 R/W 187 IMV ACT",13,20352
"U/S 279, 338 R/W 187, 146, 196 IMV ACT",10,20353
"u/s 279, u/s 181(3),180,196 of M.V.Act",1,28831
"U/s 279,337 of IPC IMV Act U/s 134,187",12,23238
"U/S 279,337,338 R/W 184 IMV ACT",12,20354
"U/S 279,337,338 R/W 184, 187 IMV ACT",69,20355
"u/s 3  r/w 181 of M.v.Act and 185 of M.V. Act",3,28840
"U/S 3 CL 1 R/W 181 IMV ACT",2,20418
"U/s 3 i R/w 181 of IMV Act",3,23267
"U/S 3 R/W 181 IMV ACT AND SEC 66 CLAUSE 1 R/W 192 IMV ACT",2,20433
"U/S 3 R/W 181 IMV ACT",7,20432
"U/S 3 R/W 181 IMV ACT, SEC 128 CLAUSE A R/W 177 IMV ACT, SEC 105 R/W 177 CLAUSE 1 IMV ACT",1,20434
"U/S 3 R/W 181 IMV ACT, SEC 134 IMV R/W 177 IMV ACT",4,20435
"u/s 3 R/w 181 M.V.Act. and 5 R/w 180 M.V.Act.",37,28844
"U/S 3 R/W 181 OF IMV ACT",4,20436
"U/S 3 RW 181 AND 177 M.V. Act",1,20437
"U/s 3(1) R/W 181 IMV ACT",2,23271
"U/s 379 of IPC, U/s. 5,8 9,11 of K.P. of C.S. and C.P Act, U/s 11(1)(D), U/s 192(A) of IMV Act",1,23339
"U/s 379 of IPC,U/s 4(1),21,4,2 of MMRD Act 1957,U/s 44(6),42(1) of KMMCR 1994 and U/s 181 of IMV Act",11,23340
"U/S 39 R/W 192 IMV ACT",2,20614
"U/s 39 R/w 192 of IMV Act.",2,23341
"U/s 5 r/w 180 IMV Act",3,23394
"U/s 5 R/w 180 MV Act",1,23389
"U/S 50 R/W 177 IMV ACT",1,20725
"U/S 66 1 OF 192 IMV ACT SEC 3 R/W 181 IMV ACT SEC 39 R/W 192 IMV ACT RULE 94 IMV ACT R/W 177 IMV ACT",1,20807
"U/S 66 CLAUSE 1 R/W 192 IMV ACT",9,20809
"U/S 66 CLAUSE 1 R/W 192 IMV ACT, SEC 156 R/W 196 IMV ACT, SEC 3 R/W 181 IMV ACT",2,20810
"U/S 66 OF 1 R/W 192, 156 R/W 196 AND 3 R/W 181 IMV ACT",1,20811
"U/s 66 R/w 192 (A) and U/s 196 R/w 177 MV Act",10,23430
"U/S 66 R/W 192 a of MV Act",354,20812
"U/S 66 R/W 1992 of MV Act",8,20813
"U/s 9, 11  Cows and Slaughter U/s 11 ,1, ,D, ,E, Prevention of Cruelty of Animals 192 r/w 112 MV Act",3,23516
"U/S 94  CL 1 R/W 177 IMV ACT",2,21032
"U/S 96 CL XXI 117 IMV ACT 1988, RULE 221 CL A SUB CL 6 IMV ACT 1989",2,21051
"U/s CMV RULE 100(2) r/w 177 IMV ACT,RULE 230 r/w 177 IMV,SEC 184 IMV,CMV RULE 115 r/w 190(2) IMV ACT",1,23593
"U/s CMV Rule 51,105,13(s),132(r)(1)(2)(3)(4) r/w177,146,196,115,190(2),179 IMV ACT",1,23594
"U/s KPCS and CP Act 1964 U/s 11f,11d,9,11,5,4 IMV Act 1988 U/s 192A",6,23603
"U/s rule 13(r)(1)(2)(3)(4)r/w 177,rule 13(s) r/w 177,rule 230 r/w 177,Sec 179 IMV ACT",1,23610
"U/s rule 230 R/W 177 IMV ACT",2,23611
"U/s rule 230 r/w 177 IMV ACT,CMV RULE 51 r/w 177 IMV ACT,CMV RULE 115 r/w 190(2) IMV ACT",1,23612
"U/s rule 230 r/w 177 IMV ACT,SEC 184 IMV ACT ,RULE 138 r/w 177 IMV ACT",1,23613
"U/s rule 230 r/w 177 IMV ACT,SEC 184 IMV ACT,SEC 3(1) r/w 181 IMV ACT",1,23614
"U/s rule 230 r/w 177 IMV ACT,SEE 184 IMV ACT",6,23615
"U/s rule 230 r/w 177 IMV, CMV RULE 115 r/w 190(2) IMV ACT",2,23616
"U/s rule 230 r/w 177 IMV,SEE 3(1) r/w 184 IMV ACT",1,23617
"U/s rule 230 r/w 177 IMV,SEE 3(1) r/w 184 IMV,CMV RULE 115 r/w 190(2) IMV ACT",1,23618
"U/s rule 230 r/w 177,SEE 184,SEE 128(A) r/w 177,rule 138 r/w 177 IMV ACT",1,23619
"U/s rule230 r/w 177 IMV ACT,SEC184 IMV CMV RULE 115 r/w 190(2) IMV ACT",1,23620
"U/S SEC 3 R/W 181 IMV ACT SEC 134 IMV R/W 177 IMV ACT SEC 177 IMV ACT R/W FIRST M3 AND M18",4,21102
"U/s sec.113 r/w IMV act",1,23621
"U/s. 11(d), 8, 5 of K.P. of C.S. and C.P. Act 1964, Sec. 379 of IPC, Sec. 192 of M.V. Act",1,23631
"U/s. 140 and 166 of Motor Vehicles Act",6,23669
"U/s. 140 of Motor Vehicles Act",1,23670
"U/s. 163 A Act 94 of the Motor Vehicles Act 1954",1,23680
"U/s. 163 A of M.V. Act",19,23681
"U/s. 163-A of M.V.Act",28,23682
"U/S. 166 OF M.V. ACT",37,21154
"U/s. 166 of M.V.Act 1988",1847,23683
"U/S. 166 OF M.V.ACT",233,21155
"U/S. 166 of M.V.ACT",462,21156
"U/s. 166 of Motor Vehicle Act R/w 232 of K.M.V. Rules",251,23684
"U/s. 166(2) of the Motor Vehicle Act",1,23685
"U/s. 177 of M.V. Act",1,23686
"U/s. 181(3), 196 of M.V. Act",2,23693
"U/s. 184 of M.V. Act",2,23694
"U/s. 196, 184R/w 177 of M.V. Act",1,23696
"U/s. 197 of M.V. Act",1,23697
"U/s. 3, 181 of M.V. Act",2,23757
"U/s. 379 R/w 34 of IPC  and Sec. 192 of India Motor Vehicle Act",1,23830
"U/s. 56, 177 of M.V. Act",1,23877
"U/s.128(1) M.V.Act.",1,23932
"U/s.13 R/w 177 MV Act.",2,23934
"U/S.13(2),(I)(II)(III)(IV) R/W 177 MV ACT",2,21207
"U/s.13(R),(1),(2),(3),(4),R/w 177 MV Act.",2,23937
"U/S.13(R),I,II R/W 177 MV ACT",4,21209
"U/s.132 R/w 179(1),129 R/w 177 IMV Act",4,23939
"U/S.14(B),R/W 177 MV ACT",6,21213
"U/S.163A OF MOTOR VEHICLE ACT",1,21218
"U/s.166 of M.V.Act",135,23956
"U/s.166 of Motor Vehicles Act",1899,23957
"U/S.177 MV ACT",9,21219
"u/s.184 MV Act and 66 R/w 193 MV Act.",2,28984
"U/S.185 MV ACT.",71,21222
"U/s.185,184,196,190(2) MV Act.",1,23961
"U/s.185.3 R/w 181 and 184 MV Act.",101,23962
"U/s.192(A) MV act",5,23964
"U/s.196 IMV Act.",8,23966
"U/S.230(A),R/W 177 MV ACT",1,21225
"U/S.3 R/W 181 MV ACT",15,21234
"U/s.3(1) R/w 181 MV Act.",1,23985
"U/s.69 R/w 177 MV ACT.",2,24009
"U/s.rule 115 R/w 190(2) IMV ACt.",1,24030
"U/s181 MV act and 196 MVAct, 185 MV Act 3 R/w Sec.",13,24036
"U/S279,300 R/W 187 IMV ACT",4,21265
"U/s39 R/w 192/A and 5 R/w 180 MV Act",1,24040
"U/s39 R/w 192/A MV Act",1,24039
"u/sec 113 R/W 194 M.V.Act",1,29002
"u/sec 117 R/W 177 M.V.Act",1,29003
"U/sec 122 R/w 177, 146 R/w 196, 13 1 R/w 177, 158 R/w 177, 179 M.V.Act",1,24054
"u/sec 125 R/W M.V.Act",1,29004
"u/sec 14 r/W 177, 119 R/W 177, 158 R/W 177 M.V.Act",4,29010
"U/Sec 152 and 151 CPC Rule 253 of Karnataka MVC 1989",1,21418
"U/sec 158 6 of MV Act 1998",9,24080
"U/Sec 163.A. of Motor Vehicle Act 1994",1,21423
"U/Sec 165-A And 166 of M.V. Act 1989",5,21424
"U/Sec 166 (1) (a) And (b) of M.V. Act",1,21425
"U/Sec 166 (1) of M.V. Act 1988",18,21426
"U/Sec 166 4 of MV Act",4,21427
"U/sec 166 And 140 of 1989 MV Act",2,24085
"U/Sec 166 C of IMV Act 1988.",11,21428
"U/Sec 166 Clause A of MV Act 1988",3,21429
"u/sec 166 of M. V. Act",232,29012
"U/Sec 166 of MV Act 1988 and 1989",46,21432
"U/Sec 166 of the Motor Vehicles Act 1989",21,21435
"U/Sec 170 of MV Act",156,21436
"u/sec 177, 130 R/W 177 M.V.Act",3,29015
"u/sec 181 M.V.Act",2,29017
"u/sec 184 3 R/W 181 M.V.Act",1,29018
"u/sec 184 M.V.Act",2,29019
"U/sec 184, 119 R/w 177 M.V.Act",4,24095
"u/sec 184, 158, 119 R/W 177 M.V.Act",1,29020
"u/sec 185 3 R/W 181 M.V.Act",7,29021
"U/Sec 185 M.V.Act ,158 R/w 177 M.V.Act",3,21445
"u/sec 185 M.V.Act",59,29022
"U/Sec 185 M.V.Act,184, 179, 158 r/w 177 M.V.Act",1,21446
"U/sec 185, 3 R/w 181 M.V.Act",30,24096
"U/sec 185, 3 r/w 181, 158 R/w 177 M.V.Act",10,24097
"u/sec 190 II 184 M.V.Act",2,29023
"U/Sec 192 A R/W/S 66 1  of IMV Act",983,21447
"U/sec 196 M.V Act",2,24099
"u/sec 196 M.V.Act",1,29024
"U/sec 239 of M.V.Act",1,24103
"u/sec 3 R/W 181 13 A R/W 177, 158 R/W 177 M.V.Act",5,29032
"U/sec 3 R/w 181 MV Act",26,24115
"U/sec 4.184 IMV Act 5.177(3) MV Act 6.115(7) r/w 190(2) IMV Act 7. 146 r/w 196 IMV Act",1,24126
"u/sec 66 R/W 192, 184 M.V.Act",1,29040
"u/sec M.V.Act",2,29054
"u/Sec. 100 R/w 177 of IMV Act",3,28499
"U/sec. 128 r/w. 177 M.V. Act",3,24172
"U/Sec. 130 cluse 1 R/w Sec. 177 IMV Act.",1,21642
"U/sec. 13r sub clause 2 r/w. 177 M.V. Act",1,24192
"U/Sec. 156 r/w 196 IMV and Rule 230(A) r/w 177 MV Act",1,21658
"U/Sec. 158(6) of M.V.Act",1159,21659
"u/Sec. 163 A of Motor Vehicles Act",2,28503
"U/Sec. 163.A of  Motor  Vehicle  Act",2,21660
"U/Sec. 163A of M.V.Act.1989",3,21661
"u/sec. 166 (1-c) of Motor Vehicle Act 1989",1,29131
"U/Sec. 166 . 1 a of Motor Vehicle Act.",6,21663
"U/sec. 166 M.V. Act",4,24202
"U/SEC. 166 OF  M.V ACT 1982",27,21318
"u/sec. 166 of IMV Act",39,29132
"U/Sec. 166 of IMV Act.",4,21664
"u/sec. 166 of M.V. Act 1988  and u/sec. 54 of the Motor Vehicle (Amendment) Act 1994",1,29134
"u/Sec. 166 of M.V. Act",517,28504
"U/SEC. 166 OF M.V. ACT",673,21319
"u/sec. 166 of M.V. Act",89,29133
"U/Sec. 166 of Motor Vehicles Act",572,21665
"U/sec. 166 of the Motor Vehicle Act 1989",50,24203
"U/Sec. 166 of the Motor Vehicle Act",96,21666
"u/Sec. 177, 184 of IMV Act",1,28505
"U/Sec. 181  of M.V. act",2,21674
"u/Sec. 184, 177, 196 of IMV Act",1,28506
"U/sec. 185 IMV Act",110,24207
"U/sec. 185 M.V. Act",300,24208
"U/Sec. 185 M.V. Act",366,21675
"U/Sec. 185 MV Act, 158 R/w 177 MV Act.",4,21676
"u/sec. 185 of IMV Act.",63,29142
"U/sec. 187 M.V. Act",5,24209
"U/sec. 187, 3 r/w. 181 MV Act",5,24210
"U/Sec. 192 MVAct",1,21678
"U/Sec. 279, 337 R/w 187 IMV ACT",4,21717
"U/Sec. 279, 337, 338 R/w 187 IMV ACT",7,21718
"U/Sec. 279, 337, 338 R/w 196 IMV ACT",1,21719
"U/Sec. 279, 337, 338 R/w. 187, 181 of IMV Act.",10,21720
"U/Sec. 279, 338 R/w 187 IMV ACT",5,21721
"U/sec. 279,338 and 187 M.V.Act",17,24222
"U/sec. 3 r/w. 181 MV Act",25,24230
"U/sec. 338,279 and 187 M.V.Act",1,24238
"U/Sec. 5 r/w 180 MV Act",1,21799
"U/Sec., 177, 192 IMV Act",1,21865
"U/sec.14 R/w177 , 50 R/w 177, 156 (3) R/w 177, 115(7) R/w 177 IMV Act",2,24295
"U/sec.14(1) r/w 177 IMV 2. 130(1) r/w 177 IMV 3. 130(3)177IM V 4.130(1) r/w 177 IMV Act",2,24296
"U/Sec.166 .1.A. of M.V.Act",18,21901
"U/Sec.166 of IMV Act 1988",2991,21902
"U/Sec.166 of M.V.Act 1987",10,21904
"U/sec.166 of M.V.Act 1988 and R/w Amendment Act",2,24302
"U/Sec.166 of Motor Vehicle Act",127,21906
"U/sec.166 of MV Act",1063,24303
"U/Sec.166 of MV Act",739,21905
"U/Sec.166(1) of MV Act",29,21907
"U/sec.170 of M.V.Act",139,24304
"U/Sec.183(1) 178(3) of IMV Act",2,21919
"U/Sec.196 of IMV Act.",3,21920
"U/Secc. 3 r/w. 181 M.V. Act",10,22011
"U/Section 166 of M.V.Act.",304,22017
"U/sP of CA act 1960 U/s11 IMV Act 1988 U/s 192",2,24042
"Under 185 of IMV Act",30,25077
"Under IMV Act",548,25133
"Under Indian Motor Vehicle Act 1988",7,25139
"Under Indian Motor Vehicle Act",174,25138
"UNDER MV ACT",42,24366
"Under Rule 230(A) R/w. 177 M.V. Act",1,25711
"Under Rule 239 of MV Rules 1989",1,25712
"Under sec 15 of 1 readwith 177 IMV Act",13,26984
"UNDER SEC 158 C 177 MV ACT",4,24630
"Under Sec 159 of MV Act and 152 of CPC",1,25805
"Under Sec 163 A and 140 of MV Act 1988",3,25807
"Under Sec 163 Clause A  of MV Act 1989",33,25808
"Under Sec 166 and 140 of MV Act 1988 read with Rule 232 of KMV Rules 1989",7,25811
"Under Sec 166 Clause 1 of MV Act 1988",9,25809
"Under Sec 166 Clause 2 of MV Act 1989",4,25810
"Under Sec 166 of MV Act 1988 and MV Amended Act 1994",1,25813
"UNDER SEC 166 OF THE MOTOR VEHICLE ACT 1989",1054,24631
"Under Sec 166 of the Motor Vehicles Act",479,25814
"under sec 166 read with 140 MV 1988 and 1989",558,29640
"Under Sec 177 of IMV Act",164,25815
"UNDER SEC 180 IMV ACT",26,24634
"UNDER SEC 184 IMV ACT",8,24635
"Under sec 185 IMV Act",368,26991
"Under Sec 185 IMV Act",38,25823
"Under sec 3 with 181 IMV Act",53,27002
"Under Sec. 146 R/w.196 and 177 MV Act",3,25948
